step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
9,DEBIT,16132.836043706058,C6017969004,43066.06953184017,219781.47088644933,M2336571212,278905.06286771724,201185.26977068718,1
3,PAYMENT,11748.551851495367,C6355426612,407193.3896343807,255230.06567322064,M3326141057,189730.69029673238,11729.510860577218,0
5,TRANSFER,17378.598482213845,C8846110561,140167.37627570625,129396.204182262,M3703354270,253274.9999542736,164708.32868722145,0
3,PAYMENT,4196.240079731689,C3179465556,66089.82887693588,158228.5654372081,M2103438449,281415.11860730144,268434.10898530105,0
7,TRANSFER,2327.2004260147846,C8204323710,219927.81985691746,43483.51012796653,M9848098848,156683.8472286391,455397.46525497444,1
5,CASH_OUT,5468.017269188093,C4154988130,321978.2897238068,151609.89192212527,M1827601942,147554.43009214263,423277.16123270144,1
9,CASH_OUT,1236.0284361773656,C4403853463,190475.9225117375,483279.21969027206,M4084223478,366700.92466745287,63749.863335992864,0
7,DEBIT,10670.273607220537,C7276860690,27282.704141349477,472353.6908362408,M3497325676,435638.4940605786,46515.18737044785,1
2,TRANSFER,18738.453276669734,C4138839526,299730.5698293583,167439.1450684925,M1745913996,96290.81622926395,294633.6693783335,1
4,CASH_OUT,882.936459303342,C1635587079,451201.63805533736,285426.9681393808,M3772813170,48809.380267574474,266058.98622939136,0
9,TRANSFER,2529.9872887995334,C4053226596,191607.68297362584,454797.69555547216,M7478337503,448897.90319601295,133188.8207150119,1
2,CASH_OUT,9098.760662840363,C3573203297,108166.38881541352,3091.9113204483374,M2142924966,174947.73182369932,449726.5422769176,0
9,PAYMENT,18684.112848805307,C2969098286,221288.6729664077,405341.7851687959,M4578530934,275658.69533140707,463683.2047307767,1
5,CASH_OUT,6391.506489037335,C4203444469,24181.355524390434,474184.7763944595,M7128018005,179771.57226000173,201305.71917008134,0
2,PAYMENT,10193.97269289901,C3923824311,410243.7922401374,45662.86716677853,M8081263495,62901.16817302565,445151.2785567601,1
4,CASH_OUT,927.2998951028027,C5442977273,413170.40547509334,80723.84301646052,M4123594291,294665.822473864,191974.44713148632,0
7,DEBIT,3052.0296991455684,C5076405618,294000.2317148142,480373.1513856777,M5898441552,262570.4258848148,368408.4159148501,0
8,PAYMENT,19733.939446881053,C7405592291,176551.44446919474,268770.0718201732,M7197427403,101496.77959559861,237971.10877386207,1
3,CASH_OUT,19305.862059077306,C7538847818,399891.68222289166,7098.31723586185,M8941582490,225934.52232613892,61291.57825359149,0
1,DEBIT,198.30562059475136,C3416828349,277343.5123941836,128815.99938176457,M7186360188,398473.7520078229,463967.10061851074,0
4,PAYMENT,19041.054529922454,C2555929586,412966.1542750081,224971.8371344298,M3356991551,295213.0515539457,227048.2966887683,1
2,DEBIT,12818.486762528457,C8411895760,315729.3962915103,346454.45551238384,M3504256625,48458.66353349743,367243.5201612018,0
8,TRANSFER,17371.574060948442,C7253383386,392202.73660639866,366580.1890683998,M3836120783,274010.7486145675,183586.9072156461,0
4,TRANSFER,9149.323127113796,C7199595611,299281.49660888,497710.7564627281,M7071936549,351369.1496447934,9440.43928811733,1
2,PAYMENT,10360.36096872708,C3046480546,207070.5341078331,143755.5996918795,M2285262172,396351.7028903757,50265.17934591795,0
6,CASH_OUT,9828.04694711271,C1255428423,478972.9299630688,269110.0509342376,M4213089379,314558.78931713337,248109.7397449622,1
6,PAYMENT,13370.598725167476,C3749630800,270556.9124394224,266661.7739298025,M6189513118,76329.08227039187,344982.1785631812,0
4,DEBIT,2879.059969650627,C2281768160,302544.7592702692,202822.62972361874,M1539514958,355086.63329508033,167367.66328963955,1
6,CASH_OUT,696.4744384662913,C6394683202,110243.81970737463,84580.9469212101,M2335764902,338670.9230407582,347744.2295888252,1
2,TRANSFER,6227.8058376646995,C9722176836,312825.39471363823,488728.2815919213,M9099973807,12213.441470316611,349317.79471597803,0
2,CASH_OUT,14123.147178459269,C5172702638,285803.8247414719,426658.59333329304,M4157879910,205873.83379512158,351967.9536639154,1
4,TRANSFER,4116.883697246672,C6243061948,92419.19897351247,249166.5141471186,M8719502798,166475.12348118666,246260.9270102542,0
8,CASH_OUT,13501.305423165855,C1131208917,29793.548676571856,301622.7113420149,M9106500331,334706.0321268217,457443.075060752,0
7,CASH_OUT,19401.249717534683,C7559386505,302179.65985738556,113630.52677983115,M7815031287,108067.90615546035,244598.2589903078,1
9,CASH_OUT,1968.624244209426,C8011723583,381846.1346751603,271893.53519587347,M5736941304,295435.9614871293,225132.5967483191,0
8,DEBIT,13484.782152680013,C8062946068,261700.68546100412,347485.0665607379,M8430852548,456602.98090708617,99690.4095053135,0
5,DEBIT,8930.629364160966,C6726940840,113386.31265982286,257583.5141932944,M6958176399,398901.18610430387,153827.54367816827,1
2,PAYMENT,17376.030862112355,C4407601373,333260.98834651744,495142.58529247064,M6071817459,460728.86810826516,21167.246259151674,0
5,PAYMENT,3625.2808100029797,C1385740263,40052.863304801125,305670.8281238631,M8450745246,489252.983466345,316767.6468080851,0
8,TRANSFER,13883.256449300674,C9599888413,220916.8524009773,185486.85629608453,M2626393366,5335.063503081383,124267.87196354644,1
9,DEBIT,16778.494263997392,C9779608642,81683.37919921009,386076.01380791905,M5099214649,311370.6381887388,152077.62724273256,0
9,TRANSFER,18897.822967533062,C2467944227,92229.52552994167,85231.25579082103,M8360079637,206419.6988794532,385407.2608321606,0
1,PAYMENT,13696.635762963951,C3718311972,101146.97457910182,192257.90685313326,M9587649185,429927.2451675609,163610.59158072693,1
9,TRANSFER,9993.777803767704,C1296479630,193353.52852198895,173479.47518879292,M7888785835,125907.35100456585,121097.94600657109,0
7,PAYMENT,12395.160080004156,C1024334476,25575.102810198812,215903.54755388864,M5507969777,490514.74455753807,84528.87456685287,0
9,DEBIT,17391.209191126494,C4530148027,198896.7204645491,390889.9129643632,M9996586361,306853.9847718736,387429.20109097793,1
8,CASH_OUT,11455.13395811271,C5743379646,255853.72355735043,242086.51608170374,M1141118453,396768.7011144155,64853.128995013445,0
1,DEBIT,704.7024879670536,C4105903393,241647.1424831626,397007.2251329814,M7438885398,42799.77641138416,226876.88012517677,0
8,TRANSFER,18625.879040588858,C6498994637,191392.0502015203,288244.4515699329,M7874553143,91728.94237943253,253465.0580385972,1
8,TRANSFER,13821.582345528066,C5400187358,419573.30403537623,171034.71732877768,M9858283125,379201.8365171016,343694.9563428573,1
3,DEBIT,13562.616376967206,C6609817162,72663.34621025206,404989.3718417362,M4097635516,10993.261019661804,316641.74116649776,0
1,DEBIT,4391.935532714571,C3996840415,252848.37189068698,119144.8352765458,M8237885139,408438.9929468914,405360.3364725874,0
8,PAYMENT,13211.820857629878,C5321118252,31020.70847827715,112191.48989989774,M9512183408,6974.5093459557265,22375.716963119074,1
3,TRANSFER,7937.9016725177535,C1433539154,35577.83943895487,252251.46202741787,M5072481594,328559.4195306367,148220.3623896986,0
3,TRANSFER,13059.536243125693,C6335342459,286932.9248385482,130424.62298104446,M7385547106,182546.96011590294,140067.05938768986,0
1,DEBIT,2221.2013031290153,C8344866777,283009.2124439105,4543.517475608161,M8954147372,305747.4263595996,73008.45279605412,0
5,CASH_OUT,13191.121561600417,C3864117943,439016.7564222285,324148.7636494008,M7223765770,348015.70349455683,144589.12692822158,1
7,TRANSFER,19988.333142836265,C5949217911,278936.8378300366,255546.910736199,M8715701573,171237.6095931521,154882.65707145171,0
9,CASH_OUT,1059.419573325065,C6438150198,479895.5102024251,222758.9072465806,M8086490286,53981.22405541778,260942.23096373913,0
7,DEBIT,19545.766266004215,C9684539509,24347.424199964884,483484.2573091577,M8532377059,34822.933874132825,331852.23946312803,1
9,DEBIT,8197.468418385124,C3505071846,49003.84239037053,285599.59198145685,M3671509136,294468.0112812739,190550.25680590703,1
8,PAYMENT,17427.993661711458,C4617353510,22032.930785190696,431715.78889469226,M8514536139,260327.67686705576,359735.1156566906,1
2,TRANSFER,15669.471132759641,C3357853072,92638.42516677002,69725.11810258009,M4124859431,371100.5045605663,168082.66928978998,0
1,CASH_OUT,11383.62359363469,C1941774493,270635.055470839,284603.2315647138,M6840251060,254867.75500196856,145141.83865738017,0
7,PAYMENT,14795.139264101397,C1144608012,322786.090713714,433989.81336545147,M5777661199,211222.89501543957,270594.0279285122,1
7,TRANSFER,17582.459669896823,C1921820562,22792.5789743344,291552.878639949,M7409816755,199043.58911811543,11858.180152895304,0
8,PAYMENT,8142.392400855556,C2787227922,472985.44492279965,359007.08906350075,M2189511024,13223.451298833732,39894.56181700018,0
5,DEBIT,6607.95991510845,C4262506264,421082.6883251905,186021.7839061037,M8327150918,167778.60084832858,208984.77179326353,0
3,TRANSFER,13385.108372715336,C6101746206,148306.24107854656,46224.7585185333,M6318069046,488010.0787622471,471456.3556958782,0
8,PAYMENT,16176.134244631046,C4091480758,38593.76511323398,228950.14756353572,M2669345328,436777.7881135444,360755.8899217118,1
6,PAYMENT,15269.474182054653,C7244654153,84943.53660952863,197239.69541942875,M4828164211,164689.03351710885,44063.28475027887,1
3,CASH_OUT,15976.491612286825,C8822990819,63472.20687748634,433530.0911894737,M1623736710,293897.70253318606,423159.00639043684,0
1,PAYMENT,8768.107964777366,C7284278961,61641.88964947342,121997.65117623612,M5135873116,423648.372767747,366150.3853040905,1
3,TRANSFER,16374.90090188293,C7714274845,259280.84433286695,483367.11376755405,M7904957254,220637.16837503432,305473.2628513266,0
5,TRANSFER,2492.160201875108,C4937590330,122923.72124670015,479069.0599022481,M5223615942,8978.93187507548,410146.4803045887,0
3,CASH_OUT,10935.333049420906,C7019163147,179069.85826457222,123815.82153571935,M8907495703,37255.23090932004,202054.92387147856,1
1,TRANSFER,214.59734391261924,C9083094817,494752.66669216123,174025.97773866024,M9744406344,255196.36067435332,110750.52542692637,1
5,DEBIT,6559.258015015379,C8833067255,342157.1244626724,447777.8704369425,M2199778444,484719.6878379392,256011.69455437968,0
7,TRANSFER,7392.584543940818,C8394737790,474490.33352350065,483311.11044805375,M9259946724,346604.7711094339,274420.8777967369,0
7,TRANSFER,7983.836563024182,C8657998172,71278.27751655779,221719.55141802202,M9980246346,35458.09571928476,269163.186004956,0
9,PAYMENT,13939.797413128257,C8366035217,191069.73741628462,160498.5228204489,M4209354782,94680.43789593139,282536.8957400526,0
3,PAYMENT,7832.30621527988,C9142084304,277365.90164117713,263047.006625771,M6194409318,385661.571608425,474352.4591195904,1
7,TRANSFER,9029.00309018836,C7300579591,38379.030944369006,343884.6031828674,M9417207292,420719.87997812236,451122.8115481157,1
1,CASH_OUT,4827.128204399117,C2461881221,2093.7218139789325,136737.2576874899,M4898759972,308847.2930942954,437858.5182794697,0
4,PAYMENT,7527.710653423867,C5039195563,335217.1668984588,368236.5873095364,M4134340500,322211.5848149083,400708.40545431356,0
4,CASH_OUT,4622.665582536714,C1355260223,320909.7584007177,25828.678557320516,M9933610438,14168.725191692321,471714.05363264267,1
5,TRANSFER,1556.5988829920284,C4998130843,205394.40499980588,24647.24638220822,M6838856071,414265.12979075423,49247.32083970163,0
7,TRANSFER,12108.62700828942,C1558044778,244822.03801601633,193143.85257277262,M4686668516,394137.60408541485,132561.63072286974,1
7,DEBIT,13397.434691244824,C2814127698,207721.5002960448,176736.5960303603,M6293993256,129517.57205167357,247527.97282729245,0
4,PAYMENT,12427.85788559133,C2620549829,12002.522422444428,157816.60768357615,M5791061194,354338.35998275346,423267.24656170263,1
7,TRANSFER,9323.53147163139,C1498313616,167685.80310873123,245509.881334455,M1946773529,107427.30321249904,252582.85576136626,0
3,DEBIT,7657.737025566674,C5476608982,88541.12769864492,160366.7911557856,M7441090410,20165.080525756497,374017.36967079435,0
6,PAYMENT,17280.339626479323,C7720030620,49212.09455068437,96128.95923404596,M1263469930,100568.27129518864,69479.9526244581,0
2,TRANSFER,10429.727524210739,C4995053883,478360.2169446749,154734.77454430045,M9463467845,89314.43837714975,126206.90648828009,1
9,TRANSFER,9635.719364831646,C5892465326,299679.8625210828,487452.13640511746,M3400685880,168873.99836742363,365888.0475188362,1
5,PAYMENT,610.2771095480703,C4760292074,364328.14211830136,205556.7084974243,M2444800060,209224.74858772906,82367.00444386202,0
6,PAYMENT,6890.831769760512,C1785151076,157681.87163305873,222356.38842916788,M3990853856,254269.44574885396,175677.96732746338,0
4,PAYMENT,7665.892813838555,C2195888151,196573.5647470076,288272.49497557,M8488715785,238376.93775416407,132433.1289067857,0
7,TRANSFER,8036.57333984832,C3903862723,118461.99694836173,491670.3842071133,M2362745792,135337.30298264467,174930.84711123924,0
9,TRANSFER,11645.430147623912,C6450176200,48482.83548271237,120800.63821788151,M3077535076,14585.334287037233,354162.02453898516,1
7,DEBIT,10718.690679864882,C3041855827,89515.8187207919,340641.0552662169,M5406190056,302550.81111857534,183923.5905714005,1
1,CASH_OUT,12197.311346589548,C5745114512,398757.02264824294,357992.34677086206,M6519942430,197872.4149236772,277631.6613039701,1
1,PAYMENT,15321.176904688353,C3141345269,338772.9025918879,303662.208396533,M9596811629,149336.07869377485,49965.938527204824,0
9,TRANSFER,16278.41620045026,C3044265826,273464.43799273844,44289.169818322036,M2216416675,433470.52141525614,402508.8466173139,0
9,TRANSFER,14390.649216907239,C8019798271,237544.93643338405,338436.13791378826,M4785628569,373371.6538990799,184944.31282406242,1
4,PAYMENT,19114.9215495032,C8605444834,461217.14182806225,32047.355518087737,M3549701264,428882.7741862211,324267.0795166712,0
9,CASH_OUT,462.82839525959645,C1798962700,36367.4738893342,298071.3247749485,M7905718268,247491.3973562305,362694.8008309163,1
3,PAYMENT,3995.981915102567,C7666087140,140300.406618958,369790.58861087135,M2732436481,65465.626063388736,104830.4610558502,1
7,CASH_OUT,250.5012120650282,C2785836643,174968.92678535703,105484.94530997521,M1815755011,348110.7180606362,442337.49247667496,1
6,TRANSFER,12984.7468116766,C4735604389,391212.9061063939,420811.00377138704,M3817504373,103036.88996858762,308112.1258034765,1
8,CASH_OUT,17970.807924104738,C4419827299,496257.31008098566,15176.902766502131,M2465225206,220614.8345458584,214362.57087574073,0
9,DEBIT,4945.297701868356,C4238504278,120335.25737857653,421906.43182915304,M4210543769,32500.39447444425,91167.59178910976,1
5,TRANSFER,18547.9874414465,C1154355436,437153.6670685403,230164.52532138253,M6022630967,412654.2012114912,471150.4689506034,0
1,DEBIT,1299.321066762261,C6990338440,415311.38021589565,108793.96996582225,M5186604589,62970.32052375029,377534.10206581256,1
3,PAYMENT,18695.276933429734,C8460772866,112328.6988208833,66889.07249698401,M3843748626,451548.75352465484,104012.28136662443,1
8,PAYMENT,7097.2914760687245,C3930000411,199666.2900996113,476653.5837911863,M4919584321,432115.30113077856,168855.38736211226,1
6,PAYMENT,2118.2744861394085,C7782506048,204836.43464625956,36332.793790578355,M7174643861,232291.38221962305,404837.1290440366,1
8,CASH_OUT,9768.848007807881,C4536087088,489110.33426327916,99546.70996796283,M6753935984,372184.10215199535,347838.8316076695,0
9,TRANSFER,5209.853697638108,C8653697589,90445.95068944916,173911.173716523,M2232598916,309722.5369090766,382892.14635786216,0
4,PAYMENT,5768.970749042264,C7630595124,399578.98555239104,310117.42448056024,M6368226380,401537.8211688724,220600.5511064662,0
1,PAYMENT,6215.070302033103,C3955128393,167096.35708655496,272400.54263804917,M6971403746,215902.55039295604,358238.13132108346,0
1,TRANSFER,16080.215366870003,C6333872140,365435.1728880802,62821.74620615699,M5420053003,392904.242122175,193246.86143195684,1
4,PAYMENT,10829.309405837565,C4913010277,210005.50214783143,144863.99186910733,M4873672106,231228.408532574,105631.45846909822,0
7,DEBIT,6295.023213204473,C8341743952,289179.88155827,119375.88554301205,M2917078311,470482.8939213969,316338.51742068,0
2,TRANSFER,12245.642287887276,C5429922978,416305.8866630656,106771.4272451707,M3365197652,243186.0504125738,488006.96279939706,1
3,TRANSFER,14351.398417041552,C4161956738,402082.78249194205,205572.16823999354,M5056440662,231309.63596686476,155300.48569766482,0
1,TRANSFER,5525.217614597322,C4891523339,433211.59176985006,352015.72629582847,M3038911713,392535.93078175635,230484.79610626982,0
5,DEBIT,8329.627120354495,C6440328563,29808.662672329512,108726.46610861797,M6404755273,410788.84588041896,337000.6855349268,0
1,TRANSFER,2525.5332574052563,C8569059648,346025.2765198724,183339.4398514907,M9158722403,277244.55716058536,270753.14106124395,0
8,DEBIT,3704.8720557401384,C8976310731,69993.68836088144,195458.71342058113,M9962517146,89898.9067475377,421713.8978545246,1
1,TRANSFER,13654.245293903157,C1328070825,207909.2840092055,488228.2647177051,M7895331576,233879.11547878975,380871.35323475796,1
1,CASH_OUT,3710.623119142976,C6874371304,274294.20752734423,477333.17843953444,M1245220132,484036.2514548392,29148.60193117852,0
2,PAYMENT,10550.751334974497,C6075531172,201369.74237341539,400068.79137603793,M8184732480,376493.09651959257,499210.616961887,1
2,CASH_OUT,14210.02060827641,C7165458310,259805.83790150375,120829.46040959258,M7573121969,405581.3019395661,376201.22685973364,0
6,PAYMENT,2226.8507695854023,C2468035736,498263.1543993096,34018.65704583484,M8141610344,16412.749409620064,431951.6581470566,0
7,DEBIT,11389.51317061518,C4174094902,67608.65685642736,158452.06886031237,M2815493710,233929.73131707995,325598.8560476732,0
5,CASH_OUT,5205.599395657139,C6253876230,337728.02266821277,133397.27471691542,M6157728199,323310.56682877766,428142.56402338116,1
1,TRANSFER,19262.24481722784,C7745888779,198000.48319280762,252962.90007319694,M3799752133,415016.34181403735,56191.48746435471,1
1,PAYMENT,9722.558369726503,C3349189279,66504.89945366439,388863.95503389655,M8642821346,24636.826791385734,173868.9177796578,1
3,PAYMENT,16139.251740525646,C3603379670,79368.38168715476,429161.469439429,M8589940416,426219.44282093656,438210.47180224635,1
2,CASH_OUT,11049.508188909609,C2250455031,474636.55312280846,422432.0427052543,M8487392753,274200.46837095584,100827.60563344612,1
5,DEBIT,963.9094038109014,C5949210170,439800.748355881,179837.78061153388,M4993425036,98656.98528802996,39121.04929001137,1
6,CASH_OUT,12699.712374321045,C5026009756,453520.98020751093,343617.17173034145,M9366009768,158627.60822485,394059.4699726095,0
7,DEBIT,19032.926509912475,C7886085857,495766.38791369327,156417.09876211002,M5592627895,140964.77587578038,417743.0778216481,1
4,DEBIT,12072.075220911991,C9846414971,104157.69500425897,30452.771617591356,M2748381449,265429.5171442379,81326.10909495031,0
7,PAYMENT,16401.858302593126,C7795534851,177719.66868203087,350782.63280147116,M6268783374,25842.83995556591,427172.99139135773,0
8,CASH_OUT,17695.708620633315,C9547882087,334609.5149624334,4913.776284893923,M9978613303,79268.07924996177,343383.8977985848,1
1,CASH_OUT,4638.787461783756,C2027179126,241901.26993032361,204591.2937292443,M6109101989,406346.5216878912,260041.34160829196,0
6,DEBIT,4319.692314173711,C3279499575,209194.76668916675,164689.63465103786,M7145846257,66301.99537340553,415125.0963906925,0
8,CASH_OUT,12258.521678134735,C8063465290,178905.62466779654,346688.7692594262,M7176256593,116698.13472906349,209624.62465948288,0
5,TRANSFER,8279.466549153423,C1880387600,296890.3159717261,383122.7363801895,M7533391402,226685.30280207866,96996.97811169861,1
4,TRANSFER,16813.239927047736,C9143580600,287796.714320041,152047.31798564192,M5938255174,258560.44405666523,142426.33830530682,1
2,CASH_OUT,18010.46015562042,C8933639704,80728.91703212004,405813.50722242676,M5576627293,381805.2398070793,252582.0091466574,0
6,CASH_OUT,7133.08544812409,C6648513530,235869.91875921952,146958.3802524669,M8427782788,223666.21333309388,265665.39633658784,1
6,DEBIT,4813.724123592193,C2186430290,276735.88810492493,223163.17999328062,M6836863863,394932.31051776937,402790.4132206168,0
1,TRANSFER,15632.45775335285,C3264586695,285143.46936569526,363509.263507067,M4471870418,309173.1535227287,395676.3618261672,1
9,TRANSFER,5568.6401074079085,C5069031598,105053.5964561759,346460.1146123943,M6961665748,56549.869711911226,290683.2786022874,0
6,PAYMENT,16470.0249384222,C9850333854,371135.6961261434,493684.2361561,M6989551507,78165.71919641929,390392.7416827382,0
3,DEBIT,8532.39124761038,C3963526317,12599.547410534817,112580.51210796593,M8699555968,218516.8627248854,95886.7291468355,1
4,PAYMENT,13384.242995900262,C8258909465,177415.92777158134,331158.9567697912,M6493882237,198444.6965445198,25032.26354664717,1
4,TRANSFER,2001.1527453098968,C4996925809,390106.3242678168,304840.9541378887,M3776117015,371772.1348186473,436816.91131735005,1
3,DEBIT,12514.800561063803,C3135940691,281946.4605277012,457549.227245015,M9045808931,290368.56989867595,37777.24688138479,1
3,CASH_OUT,9090.176806870859,C9781334775,130581.21625543012,78181.07082243753,M1178859722,194066.54050112466,123344.21487199864,1
3,DEBIT,11773.508417191935,C7080136864,347476.55967152386,375899.08179346647,M3609071311,85380.14172519282,347659.47481219226,0
4,CASH_OUT,3443.482734122782,C6591689637,283695.4720780367,284134.30813438416,M5481512129,113418.55116274758,204723.96881365456,0
7,CASH_OUT,14763.787524389225,C5076229753,398121.80472819356,137332.9348939527,M9056338752,287750.5092345295,438156.9849577544,0
4,DEBIT,17269.661843110247,C5133090861,367512.59309491166,237217.45707358705,M4231300170,211719.40244989624,148989.89733113477,1
9,CASH_OUT,4413.122021806435,C3666782085,305053.9610181173,166888.2985348989,M9665719970,257463.75443033603,5935.673334679647,1
1,PAYMENT,2004.7196548512184,C9283532861,244088.837655407,289656.7013942304,M3274497360,85338.71765111684,150327.82028037205,0
8,TRANSFER,570.4078623220943,C8562811837,66591.06283376171,444500.30540733295,M7016742965,331453.1261722829,289037.52459241584,0
7,CASH_OUT,12875.232858820993,C7643711565,130666.50894269189,284652.492206101,M7078501579,426269.3704279835,187969.18770164668,0
2,PAYMENT,12181.171318166736,C6069383981,209549.73645854264,315861.209163292,M6514214815,128969.75339345029,267436.37787937763,0
8,CASH_OUT,10979.278513009993,C2969663198,299649.6435031943,259373.92355735472,M6937725545,245757.11291591328,438299.05941750936,1
1,TRANSFER,4715.747212707911,C7703904770,256853.9276076524,25582.753222737952,M6602884432,487763.6645104509,456242.52711518423,0
9,PAYMENT,7879.0293185197415,C9005654021,144092.26297976475,116429.27843804713,M5401738103,166620.87027536382,132987.03232705605,1
9,TRANSFER,11930.079070204843,C3067311111,3232.1788948552753,246000.86471604137,M9606745542,297523.1724618806,231070.23663495036,0
2,TRANSFER,9985.66049129747,C1588406480,248119.61095040696,155117.6418723524,M2745501717,45097.85010012218,274572.0076207256,1
7,PAYMENT,19756.93185227626,C3264447025,142812.99428112153,90881.79888059711,M8951106157,303007.5012397216,474556.2284441235,1
3,PAYMENT,2815.151075878989,C5762660520,367304.1503552675,252066.42095921916,M4429463680,44815.88665230895,499308.6595821923,1
7,PAYMENT,13933.376625547116,C7539258301,11973.132635241745,161404.89672392517,M2147466067,479617.71766191104,117703.62442076331,1
9,DEBIT,8145.943485275413,C1941102411,292413.90565289545,129053.82158670736,M2050293202,357831.3260361557,363489.93567290774,0
4,PAYMENT,8621.172337019734,C4948738833,470737.1187530327,231992.7087201904,M2884063743,394079.8940678532,189015.5311165976,0
1,PAYMENT,14380.195536597706,C5350928849,87204.63355574975,66642.12904108658,M6232443537,352052.1803858184,4054.098443106613,0
2,PAYMENT,13879.479411354956,C5355913093,235824.74537529767,463872.86653770367,M9643955878,294864.51803823287,4626.261217951177,1
1,PAYMENT,19825.994274673547,C8294190864,45710.995908569086,433851.04895961954,M1661267077,224956.3905427527,230283.00378112786,0
5,CASH_OUT,2655.046360137092,C5092660559,312840.9561306763,353810.29287026764,M6341386990,429186.6898805312,244167.4565021673,0
5,DEBIT,2171.78202274491,C9448426913,275265.8402981128,53106.91379422811,M3539619087,478417.8337715315,11284.848286721328,0
7,TRANSFER,14514.34246086195,C4668855145,203682.76210641616,387938.6272348465,M4808952690,249518.08645204065,343463.70838715124,1
9,PAYMENT,11609.899648427541,C2968102826,260688.5107368706,403978.6640545095,M4817603558,465767.524577631,147001.69429747656,1
9,CASH_OUT,5555.797264540137,C8968053340,448287.3292345051,383882.3088571688,M1150998140,291666.45499425876,279946.5507679747,1
3,CASH_OUT,1680.4454428808335,C7885108779,98147.15115553352,56982.94355962058,M3469908671,269192.0934482166,150459.53658270938,0
3,CASH_OUT,1804.5991669689677,C4588049316,11282.255852673617,321953.97853388236,M8673317589,227241.36647767836,83567.15743465359,0
3,TRANSFER,17894.398405815955,C8664029219,430832.4423495505,417162.39787469927,M5369218887,104643.88076505993,203586.86929943765,0
